aname,bname
昏迷,颅内出血
昏迷,低血压
谵妄,昏迷
多发性神经炎,腹泻
多发性神经炎,肌肉萎缩
腹泻,腹痛
腹泻,细菌感染
咯血,咯血
蛋白尿,蛋白尿
肺纤维化,呼吸衰竭
心律失常,心律失常
大咯血,咯血
消化不良,便秘
头痛,紧张性头痛
头痛,眩晕
低血压,睡眠障碍
晕厥,耳鸣
意识障碍,昏迷
意识障碍,痴呆
腹痛,腹泻
吞咽困难,吞咽困难
呼吸衰竭,呼吸衰竭
呼吸衰竭,意识障碍
呼吸性碱中毒,代谢性碱中毒
呼吸性碱中毒,呼吸性碱中毒
休克,呼吸衰竭
休克,休克
休克,低血压
眩晕,低血压
眩晕,共济失调
胸腔积液,胸腔积液
脓胸,脊柱侧弯
脓肿,脓肿
耳鸣,耳鸣
耳鸣,传导性耳鸣
耳鸣,眩晕
结膜充血,结膜充血
肺栓塞,咯血
肺栓塞,心律失常
肺栓塞,大咯血
新生儿反应低下,呼吸衰竭
新生儿反应低下,肾功能衰竭
新生儿反应低下,吞咽困难
新生儿反应低下,脱水
新生儿喉喘鸣,吞咽困难
新生儿喉喘鸣,新生儿喉喘鸣
淋巴结结核,淋巴结结核
新生儿青紫,呼吸衰竭
细菌感染,昏迷
细菌感染,晒伤
心包炎,腹泻
心包炎,腹水
败血症,脑膜炎
败血症,腹水
败血症,败血症
猝死,心律失常
猝死,猝死
代谢性酸中毒,腹痛
代谢性酸中毒,腹泻
代谢性酸中毒,肾功能衰竭
代谢性酸中毒,心动过缓
代谢性酸中毒,心力衰竭
体温过低,昏迷
体温过低,体温过低
心动过缓,心动过缓
心肌缺血,心动过缓
动脉粥样硬化,腹痛
脑干梗塞,意识障碍
脑干梗塞,吞咽困难
精神障碍,偏执状态
共济失调,眩晕
心肌梗死,心律失常
硬肿症,心包积液
硬肿症,胸腔积液
色素斑,雀斑
色素斑,色素斑
耳聋,耳聋
肌肉萎缩,重症肌无力
下颌后缩,下颌后缩
胎盘早剥,腹痛
便秘,肠易激综合征
妊高征,昏迷
妊高征,蛋白尿
菌血症,休克
菌血症,腹痛
菌血症,腹泻
菌血症,菌血症
菌血症,脓肿
菌血症,低血压
血胸,休克
腹水,腹膜炎
腹水,腹水
便血,结肠息肉
便血,上消化道出血
便血,痢疾
半乳糖血症,半乳糖血症
半乳糖血症,腹泻
半乳糖血症,低血糖症
半乳糖血症,蛋白尿
半乳糖血症,β-氨基酸尿
痢疾,腹痛
痢疾,腹泻
肠易激综合征,便秘
肠易激综合征,腹痛
肠易激综合征,腹泻
脱水,腹痛
脱水,代谢性碱中毒
脱水,代谢性酸中毒
脱水,低钠血症
舌炎,口腔溃疡
肠套叠,休克
肠套叠,腹痛
肠套叠,急腹症
肠套叠,便血
腹部肿块,肠套叠
腹部肿块,腹痛
腹部肿块,腹膜炎
腹部肿块,腹部肿块
急腹症,腹痛
腹膜炎,休克
腹膜炎,腹痛
腹膜炎,腹泻
吸收不良综合征,腹痛
吸收不良综合征,腹泻
吸收不良综合征,腹胀
倾倒综合征,腹泻
倾倒综合征,倾倒综合征
倾倒综合征,眩晕
胆道运动功能障碍,腹胀
腹胀,便秘
蛔虫性肠梗阻,蛔虫性肠梗阻
胆结石,腹痛
胆结石,肝纤维化
胆结石,消化不良
上消化道出血,腹水
消化性溃疡,腹痛
肾功能衰竭,血尿
肾功能衰竭,脱水
肾功能衰竭,蛋白尿
偏头痛,头痛
偏头痛,意识障碍
蜘蛛痣,肝大
肝纤维化,肝纤维化
肝纤维化,腹部肿块
结肠息肉,便秘
结肠息肉,腹痛
结肠息肉,便血
智能障碍,痴呆
智能障碍,孤独症
肝肾综合征,腹水
肝肾综合征,肝肾综合征
肛裂,便秘
肛裂,肛裂
肛裂,便血
结肠粪性穿孔,便秘
结肠粪性穿孔,腹痛
结肠粪性穿孔,腹膜炎
结肠粪性穿孔,结肠粪性穿孔
肠粘连,腹痛
急性胃扩张,腹膜炎
急性胃扩张,急性胃扩张
急性胃扩张,脱水
酒精性肝硬化,蜘蛛痣
代谢性碱中毒,昏迷
过敏性皮炎,过敏性皮炎
过敏性皮炎,小儿湿疹
剥脱性皮炎,口腔溃疡
剥脱性皮炎,低血压
缺铁性贫血,晕厥
缺铁性贫血,吞咽困难
缺铁性贫血,耳鸣
