aname,bname
紧张性头痛,失眠
谵妄,意识障碍
多发性神经炎,瘫痪
腹泻,营养不良
咯血,休克
骨膜炎,脑膜炎
大咯血,肺不张
头痛,意识障碍
低血压,心绞痛
晕厥,心律失常
意识障碍,昏迷
腹痛,休克
呼吸衰竭,休克
呼吸性碱中毒,急性呼吸窘迫综合征
休克,心力衰竭
眩晕,共济失调
胸腔积液,心力衰竭
脓胸,咳嗽
脓肿,败血症
疱疹,昏迷
疱疹,眼球震颤
疱疹,尿潴留
新生儿反应低下,休克
新生儿青紫,代谢性酸中毒
心包炎,心肌梗死
痰饮,失眠
体温过低,猝死
心动过缓,心绞痛
心肌缺血,心律失常
脑干梗塞,吞咽困难
脑干梗塞,肺栓塞
脑干梗塞,营养不良
静脉曲张,丹毒
心包积液,心力衰竭
心绞痛,心力衰竭
精神障碍,痴呆
动脉导管未闭,乳糜胸
神经性呕吐,营养不良
上睑下垂,睑内翻
心肌梗死,心律失常
心肌梗死,休克
心肌梗死,心力衰竭
心肌梗死,心包炎
下颌后缩,下颌后缩
胎盘早剥,产后出血
妊高征,子痫
菌血症,脑膜炎
血胸,休克
热痉挛,低镁血症
腹水,多发性神经炎
低血糖症,脑水肿
半乳糖血症,腹水
呃逆,消化不良
痢疾,脱水
脱水,昏迷
肠套叠,休克
腹部肿块,腹痛
急腹症,休克
腹膜炎,脱水
胆道运动功能障碍,腹痛
上消化道出血,腹膜炎
肾功能衰竭,心力衰竭
肾功能衰竭,心包炎
肾功能衰竭,贫血
偏头痛,心律失常
偏头痛,头痛
偏头痛,意识障碍
偏头痛,眩晕
偏头痛,耳鸣
偏头痛,共济失调
蜘蛛痣,心力衰竭
肝纤维化,胆汁性肝硬化
智能障碍,痴呆
肛裂,脓肿
结肠粪性穿孔,休克
视神经萎缩,视网膜脱离
急性胃扩张,腹膜炎
酒精性肝硬化,上消化道出血
酒精性肝硬化,肝肾综合征
溶血性黄疸,溶血性贫血
代谢性碱中毒,呼吸性碱中毒
球后视神经炎,视神经萎缩
胆汁性肝硬化,肝肾综合征
小肠损伤,休克
甲状旁腺功能亢进,腹痛
甲状旁腺功能亢进,便秘
甲状旁腺功能亢进,腹胀
甲状旁腺功能亢进,骨质疏松
甲状旁腺功能亢进,瘫痪
低钠血症,脑水肿
继发性高血压,心力衰竭
继发性高血压,肾功能衰竭
睡眠障碍,失眠
脑脓肿,败血症
脑脓肿,脑积水
脑脓肿,脑膜炎
脑膜炎,休克
肝豆状核变性,吞咽困难
肝豆状核变性,上消化道出血
肝豆状核变性,肝肾综合征
眼球突出,结膜充血
乳突炎,耳鸣
扭转痉挛,痉挛性斜颈
婴儿痉挛症,瘫痪
磨牙,口臭
肾上腺危象,休克
乳头溢液,乳房疼痛
库欣综合征,肾结石
溶血性贫血,休克
涎瘘,化脓性腮腺炎
男性性早熟,头痛
男性性早熟,甲状旁腺功能亢进
脾大,溶血性贫血
低镁血症,低钾血症
呼吸性酸中毒,败血症
呼吸性酸中毒,代谢性酸中毒
呼吸性酸中毒,代谢性碱中毒
末梢神经炎,瘫痪
脾功能亢进,贫血
贫血,营养不良
网状青斑,网状青斑
坐骨神经痛,腰椎间盘突出
坏死性筋膜炎,休克
脊柱侧弯,瘫痪
鳞状细胞癌,骨膜炎
脊柱裂,瘫痪
口唇疱疹,脑膜炎
脑脊液鼻漏,低颅压综合征
嗅觉障碍,嗅觉障碍
偏瘫,肌肉萎缩
肘关节脱位,肘关节脱位
肢骨纹状肥大,足外翻
粉碎性骨折,休克
传导性耳聋,脑膜炎
指节垫,耳聋
病理性神经损伤,神经性呕吐
病理性神经损伤,末梢神经炎
鼻中隔穿孔,头痛
头皮血肿,贫血
头皮撕脱伤,贫血
烫伤,休克
烫伤,败血症
丹毒,败血症
淀粉样变性,肺不张
子痫,妊高征
先天性无阴道,闭经
慢性盆腔疼痛,静脉曲张
卵巢囊肿,溶血性贫血
卵泡囊肿,急腹症
子宫内膜异位,月经不调
月经不调,痛经
脑血管痉挛,耳鸣
近视,营养不良
近视,斜视
近视,视网膜脱离
眼睑闭合不全,上睑下垂
睑外翻,角膜炎
视网膜动脉阻塞,视神经萎缩
神经性耳鸣,失眠
药物中毒,呼吸衰竭
唇腭裂,骨裂
口腔黏膜白斑,口腔溃疡
牙列稀疏,精神障碍
颅骨骨折,脑脓肿
颅骨骨折,脑膜炎
颅骨骨折,脑脊液鼻漏
偏执状态,睡眠障碍
抗-HCVAg阳性,心包炎
肝内胆管结石,胆汁性肝硬化
肝内胆管结石,营养不良
肝内胆管结石,贫血
结节性硬化,心力衰竭
细菌性心内膜炎,心力衰竭
睑内翻,角膜溃疡
多形红斑样皮疹,细菌感染
传导性耳鸣,失眠
中暑,昏迷
中暑,头痛
中暑,意识障碍
中暑,呼吸衰竭
中暑,休克
中暑,心力衰竭
中暑,脑水肿
维生素D中毒,肾功能衰竭
延髓性麻痹,营养不良
先兆流产,休克
肺动静脉瘘,血胸
直肠脱垂,肠套叠
糙皮病样皮疹,腹泻
肺动脉闭锁,心力衰竭
急性呼吸窘迫综合征,气胸
乳糜尿,贫血
冠状动脉供血不足,心绞痛
肾动脉狭窄,心力衰竭
肾动脉狭窄,心肌梗死
舌咽神经损伤,瘫痪
灼痛,肌肉萎缩
女性性早熟,卵巢囊肿
粪类圆线虫病,脱水
产褥感染,败血症
紫癜,贫血
妊娠痒疹,胎儿窘迫
早搏,休克
血管神经性水肿,腹泻
腹膜后纤维化,头痛
脑水肿,头痛
一氧化碳中毒,脑水肿
糖尿病酮症酸中毒,心律失常
糖尿病酮症酸中毒,休克
糖尿病酮症酸中毒,肺栓塞
糖尿病酮症酸中毒,败血症
糖尿病酮症酸中毒,猝死
糖尿病酮症酸中毒,心肌梗死
糖尿病酮症酸中毒,急性胃扩张
糖尿病酮症酸中毒,脑水肿
血小板减少性紫癜,贫血
