aname,bname
化学性支气管炎,慢性支气管炎
紧张性头痛,失眠
昏迷,呼吸道感染
谵妄,意识障碍
多发性神经炎,瘫痪
腹泻,营养不良
咯血,休克
蛋白尿,急进性肾炎
骨膜炎,脑膜炎
肺纤维化,肺动脉高压
心律失常,脑栓塞
大咯血,肺不张
咳嗽,高血压
消化不良,胃癌
头痛,意识障碍
低血压,心绞痛
晕厥,心律失常
意识障碍,昏迷
血尿,肾肿瘤
腹痛,休克
吞咽困难,反流性食管炎
呼吸衰竭,休克
呼吸性碱中毒,急性呼吸窘迫综合征
休克,急性肾功能衰竭
休克,心力衰竭
眩晕,共济失调
胸腔积液,心力衰竭
脓胸,咳嗽
脓肿,败血症
耳鸣,咽鼓管阻塞
气胸,血气胸
结膜充血,过敏性结膜炎
肺栓塞,心源性休克
疱疹,膀胱炎
疱疹,昏迷
疱疹,前列腺炎
疱疹,眼球震颤
疱疹,尿潴留
疱疹,恶心和呕吐
疱疹,听力障碍
新生儿反应低下,休克
慢性咳嗽,呼吸道感染
新生儿喉喘鸣,呼吸道感染
心力衰竭,无痛性心肌梗死
淋巴结结核,颈部淋巴结结核
新生儿青紫,代谢性酸中毒
细菌感染,感染性休克
心包炎,心肌梗死
痰饮,失眠
败血症,黄疸
猝死,抽搐与惊厥
代谢性酸中毒,高钾血症
体温过低,猝死
失眠,抑郁症
心动过缓,心绞痛
心肌缺血,心律失常
动脉粥样硬化,脑栓塞
脑干梗塞,肺栓塞
脑干梗塞,吸入性肺炎
脑干梗塞,尿路感染
脑干梗塞,下肢深静脉血栓形成
脑干梗塞,吞咽困难
脑干梗塞,褥疮
脑干梗塞,营养不良
静脉曲张,丹毒
静脉曲张,血栓性浅静脉炎
静脉曲张,急性蜂窝织炎
静脉曲张,淤积性皮炎
心包积液,心力衰竭
心绞痛,心力衰竭
精神障碍,痴呆
动脉导管未闭,乳糜胸
神经性呕吐,营养不良
上睑下垂,睑内翻
眼球内陷,水肿
共济失调,痉挛性脑瘫
心肌梗死,肺炎
心肌梗死,二尖瓣关闭不全
心肌梗死,休克
心肌梗死,心律失常
心肌梗死,胸膜炎
心肌梗死,心包炎
心肌梗死,心力衰竭
三尖瓣狭窄,肺栓塞和肺梗死
硬肿症,心源性休克
色素斑,黄褐斑
耳聋,心理障碍
肌肉萎缩,肌营养不良症
肌肉萎缩,重症肌无力样综合征
下颌后缩,下颌后缩
胎盘早剥,急性肾功能衰竭
胎盘早剥,弥散性血管内凝血
胎盘早剥,产后出血
胎盘早剥,羊水栓塞
产后出血,缺血性坏死
便秘,肠梗阻
妊高征,子痫
菌血症,脑膜炎
血胸,休克
热衰竭,昏厥
热痉挛,低镁血症
腹水,多发性神经炎
便血,痔疮
低血糖症,脑水肿
半乳糖血症,腹水
β-氨基酸尿,尿路梗阻
呃逆,消化不良
痢疾,脱水
肠易激综合征,胃肠道功能紊乱
脱水,昏迷
舌炎,肿胀
肠套叠,休克
腹部肿块,腹痛
急腹症,休克
腹膜炎,脱水
吸收不良综合征,营养性贫血
倾倒综合征,低血糖
胆道运动功能障碍,腹痛
腹胀,胃溃疡
腹胀,十二指肠溃疡
胆结石,急性化脓性胆管炎
胆结石,溃疡性结肠炎
胆结石,胆囊癌
胆结石,急性胆管炎
胆结石,胆管结石
胆结石,急性胆源性胰腺炎
胆结石,Mirizzi综合征
上消化道出血,腹膜炎
消化性溃疡,胃穿孔
肾功能衰竭,高血压
肾功能衰竭,心肌病
肾功能衰竭,贫血
肾功能衰竭,骨折
肾功能衰竭,心包炎
肾功能衰竭,肾性骨病
肾功能衰竭,心力衰竭
偏头痛,心律失常
偏头痛,头痛
偏头痛,意识障碍
偏头痛,耳鸣
偏头痛,恶心和呕吐
偏头痛,眩晕
偏头痛,共济失调
蜘蛛痣,心力衰竭
肝纤维化,胆汁性肝硬化
肝纤维化,丁型病毒性肝炎
肝纤维化,酒精性肝病
肝纤维化,血色病
肝纤维化,原发性硬化性胆管炎
肝纤维化,血吸虫病
结肠息肉,结肠炎
智能障碍,痴呆
肝肾综合征,消化道出血
肛裂,脓肿
结肠粪性穿孔,休克
视神经萎缩,视网膜脱离
肠粘连,继发性化脓性腹膜炎
急性胃扩张,腹膜炎
酒精性肝硬化,肝性脑病
酒精性肝硬化,上消化道出血
酒精性肝硬化,肝肾综合征
酒精性肝硬化,原发性腹膜炎
溶血性黄疸,溶血性贫血
角膜炎,角膜葡萄肿
代谢性碱中毒,呼吸性碱中毒
骨质疏松,骨折
过敏性皮炎,皮肤瘙痒症
剥脱性皮炎,淋巴瘤
缺铁性贫血,颅内高压综合征
脱发,生长期脱发
隐睾,睾丸肿瘤
巨舌,多发性骨髓瘤
口炎,恶心和呕吐
肺不张,肺脓肿
球后视神经炎,视神经萎缩
肠系膜囊肿,尿路梗阻
胆汁性肝硬化,肝肾综合征
小肠损伤,休克
眼球震颤,共同性斜视
脑积水,电解质紊乱
肠道血管畸形,消化道出血
鼻出血,巨幼细胞性贫血
鼻出血,慢性疾病的贫血
鼻出血,再生障碍性贫血
流产,失血性休克
闭经,卵巢早衰
瘫痪,褥疮
颅内出血,褥疮
直肠重复畸形,肠梗阻
血脂异常,冠心病
甲状旁腺功能亢进,便秘
甲状旁腺功能亢进,腹痛
甲状旁腺功能亢进,骨质疏松
甲状旁腺功能亢进,骨折
甲状旁腺功能亢进,尿毒症
甲状旁腺功能亢进,高钙血症
甲状旁腺功能亢进,瘫痪
甲状旁腺功能亢进,腹胀
低钾血症,高钾血症
低钠血症,脑水肿
遗尿,肾髓质囊性病
小儿遗尿,焦虑症
肾病综合征,尿毒症
肾结石,慢性肾盂肾炎
口腔溃疡,鹅口疮
前列腺增生,肾积水
尿失禁,尿路感染
尿潴留,慢性肾功能衰竭
慢性肾功能不全,骨折
膀胱结核,肾结核对侧肾积水
膀胱结核,结核性膀胱挛缩
膀胱结核,结核性膀胱自发破裂
膀胱结核,尿道狭窄
继发性高血压,高血压危象
继发性高血压,肾功能衰竭
继发性高血压,高血压性心脏病
继发性高血压,高血压病视网膜病变
继发性高血压,脑血管病
继发性高血压,心力衰竭
肾脓肿,急性肾盂肾炎
肾脓肿,尿路感染
肾脓肿,肾脏损伤
肾脓肿,尿路梗阻
肾脓肿,肾周脓肿
肾脓肿,肾周围炎
低钙血症,窦性心动过速
低钙血症,房室传导阻滞
低钙血症,充血性心力衰竭
痴呆,尿路感染
烟酸缺乏,周围神经炎
睡眠障碍,失眠
脑脓肿,肺炎
脑脓肿,脑室炎
脑脓肿,脑膜炎
脑脓肿,脑积水
脑脓肿,化脓性关节炎
脑脓肿,弥漫性血管内凝血
脑脓肿,败血症
脑脓肿,症状性癫痫综合征
脑膜炎,休克
植物神经功能障碍,消化系统疾病伴发的精神障碍
肝豆状核变性,肝性脑病
肝豆状核变性,上消化道出血
肝豆状核变性,尿路感染
肝豆状核变性,骨折
肝豆状核变性,吞咽困难
肝豆状核变性,褥疮
肝豆状核变性,癫痫
肝豆状核变性,门静脉高压
肝豆状核变性,肝肾综合征
眼球突出,结膜充血
截瘫,褥疮
脊髓梗死,尿路感染
乳突炎,耳鸣
扭转痉挛,痉挛性斜颈
血管痣,充血性心力衰竭
面肌抽搐,空气栓塞
婴儿痉挛症,瘫痪
运动性闭经,月经失调性不孕症
夜惊,失眠抑郁
梦游症,精神病
磨牙,口臭
肾上腺危象,休克
乳头皲裂,急性乳腺炎
角膜溃疡,化脓性眼内炎
雀斑,皮肤病
乳房疼痛,乳腺结核
乳头溢液,乳房疼痛
乳房肿块,乳腺炎
乳头内陷,急性乳腺炎
库欣综合征,高血压
库欣综合征,脑动脉硬化症
库欣综合征,多囊卵巢综合征
库欣综合征,肾结石
溶血性贫血,休克
涎瘘,化脓性腮腺炎
男性性早熟,头痛
男性性早熟,巨人症及肢端肥大症
男性性早熟,恶心和呕吐
男性性早熟,巨人症
男性性早熟,甲状旁腺功能亢进
露阴癖,窥阴癖
异性装扮癖,心理疾病
脾大,溶血性贫血
低镁血症,低钾血症
心脏淤积淀粉样物质,心脏瓣膜病
呼吸性酸中毒,高钾血症
呼吸性酸中毒,代谢性碱中毒
呼吸性酸中毒,代谢性酸中毒
呼吸性酸中毒,败血症
末梢神经炎,瘫痪
湿疹,皮炎
脾功能亢进,贫血
营养不良,低血糖
血瘀体质,心血虚
贫血,营养不良
膝内翻,膝关节骨性关节炎
网状青斑,网状青斑
冻疮,肿胀
甲营养不良,肝病
坐骨神经痛,腰椎间盘突出
坏死性筋膜炎,休克
肋间神经痛,主动脉瘤
类风湿关节炎,关节脱位
药疹,过敏性休克
胸廓畸形,支气管哮喘
传导性腹痛,胰腺损伤
脊柱侧弯,瘫痪
缩窄性心包炎,血栓形成
乳糜胸,肝硬化
胸骨裂,呼吸道感染
腕管综合征,腱鞘囊肿
脑疝,恶心和呕吐
鳞状细胞癌,骨膜炎
颈椎骨折脱位,尿路感染
颈肩痛,骨关节炎
脊柱裂,瘫痪
口唇疱疹,脑膜炎
脑脊液鼻漏,低颅压综合征
嗅觉障碍,嗅觉障碍
偏瘫,肌肉萎缩
胆囊结石,黄疸
胆总管结石,胆管癌
前列腺钙化,尿毒症
精索静脉曲张,腹股沟疝
尿道结石,尿道狭窄
尿瘘,盆腔炎
遗精,肾虚
大便失禁,蛲虫性阴道炎
老年大便失禁,肛门失禁
盲肠阿米巴肉芽肿,急性肠梗阻
痔核,静脉炎
扁平足,松弛性跖痛症
耳硬化症,鼓室硬化症
肘关节脱位,骨化性肌炎
肘关节脱位,肘关节脱位
肘关节脱位,创伤性关节炎
肘关节脱位,血管损伤
肢骨纹状肥大,足外翻
粉碎性骨折,休克
粉碎性骨折,周围神经损伤
粉碎性骨折,下肢深静脉血栓形成
粉碎性骨折,褥疮
粉碎性骨折,脊髓损伤
撕脱骨折,关节炎
骨囊肿,骨折
髋关节脱位,骨折
斜视,弱视
传导性耳聋,脑膜炎
鸡眼,胼胝
痉挛性斜颈,抑郁症
前列腺结石,前列腺炎
足外翻,骨结核
脊髓半切综合征,静脉血栓形成
书写痉挛,肌肉痉挛
脊髓性肌萎缩,褥疮
棘突压痛,棘突骨折
指节垫,耳聋
发育性骨盆异常,骨产道异常性难产
病理性神经损伤,神经性呕吐
病理性神经损伤,末梢神经炎
病理性神经损伤,神经衰弱
